,Unnamed: 0.2,Unnamed: 0.1,day,Unnamed: 0,SWC_F_MDS_1,GPP_DT_VUT_REF,GPP_NT_VUT_REF,SW_IN_F,TA_F,LE_F_MDS,VPD_F,RH,WS_F,doy,TIMESTAMP_START,start,end,SITE_ID,P_F_lag_sum,GPP_lag_mean,LAI,predicted_scaled,predicted,actual_scaled,actual,actual - predicted,event_percentileof_test,storm_amount,storm_length,day_no_rain_pre,storm_start,storm_end,TIMESTAMP_PLUS51,storm_length_percentile,storm_amount_percentile,wind_percentile_max,wind_percentile_min,wind_percentile_mean,wind_percentile_maxday,swc_percentile_max,swc_percentile_min,swc_percentile_mean,swc_percentile_maxday,p_percentile_max,p_percentile_min,p_percentile_mean,p_percentile_maxday,temp_percentile_max,temp_percentile_min,temp_percentile_mean,temp_percentile_maxday,WS_F_max,WS_F_min,WS_F_mean,WS_F_maxday,SWC_F_MDS_1_max,SWC_F_MDS_1_min,SWC_F_MDS_1_mean,SWC_F_MDS_1_maxday,P_F_max,P_F_min,P_F_mean,P_F_maxday,TA_F_max,TA_F_min,TA_F_mean,TA_F_maxday
0,0,0,2005-04-26,17300,52.251999999999995,5.134274,3.32268432,522.4624,13.45204,81.12934776,10.6488,35.01,4.72824,116,2005-04-26 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,30.4,1.0896242333333332,0.8440000015,0.1332939648889135,4.826809680266667,0.0782933856294542,3.3226843200000005,-1.5041253602666664,21.62162162162162,4.4,2,0,2005-04-24,2005-04-25,,35.72727272727273,40.72727272727273,95.43795620437956,87.13503649635037,90.02433090024333,2005-04-26,97.53649635036496,96.71532846715328,97.12591240875912,2005-04-26,88.82299270072993,31.797445255474454,69.19099756690999,2005-04-25,58.394160583941606,45.07299270072993,51.85523114355232,2005-04-26,4.632,3.889,4.143,2005-04-26,52.2,51.7,51.93333333333334,2005-04-26,2.6,0.0,1.4666666666666668,2005-04-25,10.712,4.149,7.416333333333333,2005-04-26
3,1,1,2005-04-27,17325,52.408,4.16197,2.08714508,410.314,14.85,64.670304,11.43772,34.6192,4.821960000000001,117,2005-04-27 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,30.3,1.1563278666666668,0.868000002,0.1393507017268379,4.992445962666666,0.0331140570356299,2.08714508,-2.9053008826666664,6.756756756756756,4.4,2,1,2005-04-24,2005-04-25,,35.72727272727273,40.72727272727273,95.8029197080292,87.13503649635037,91.4689781021898,2005-04-27,97.71897810218978,96.71532846715328,97.27417883211679,2005-04-27,88.82299270072993,31.797445255474454,59.8426094890511,2005-04-25,65.96715328467154,45.07299270072993,55.383211678832126,2005-04-27,4.664,3.889,4.273249999999999,2005-04-27,52.3,51.7,52.025000000000006,2005-04-27,2.6,0.0,1.1,2005-04-25,13.379,4.149,8.907,2005-04-27
6,2,2,2005-04-28,17350,52.172,3.58485384,1.99744136,343.66632,13.2092,51.688372,9.77116,35.5332,7.0598,118,2005-04-28 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,30.3,1.2032567333333333,0.8920000025,0.1397099780338535,5.002271251999999,0.0298339071943603,1.99744136,-3.004829891999999,6.756756756756756,4.4,2,2,2005-04-24,2005-04-25,,35.72727272727273,40.72727272727273,99.63503649635037,87.13503649635037,93.1021897810219,2005-04-28,97.71897810218978,96.71532846715328,97.30839416058394,2005-04-27,88.82299270072993,31.797445255474454,54.23357664233576,2005-04-25,65.96715328467154,45.07299270072993,57.09854014598541,2005-04-27,6.054,3.889,4.6293999999999995,2005-04-28,52.3,51.7,52.040000000000006,2005-04-27,2.6,0.0,0.8800000000000001,2005-04-25,13.379,4.149,9.6526,2005-04-27
9,3,3,2005-04-29,17375,51.376000000000005,2.9308294,3.31085528,529.034,15.3224,79.27190279999999,14.82528,17.072400000000002,3.3994799999999996,119,2005-04-29 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,30.2,1.2369969666666667,0.916000003,0.1401049519391192,5.013072779466667,0.0778608392012975,3.31085528,-1.7022174994666672,18.91891891891892,4.4,2,3,2005-04-24,2005-04-25,,35.72727272727273,40.72727272727273,99.63503649635037,69.8905109489051,89.23357664233578,2005-04-28,97.71897810218978,96.44160583941606,97.16392944038928,2005-04-27,88.82299270072993,31.797445255474454,50.49422141119221,2005-04-25,65.96715328467154,45.07299270072993,58.28771289537713,2005-04-27,6.054,3.09,4.372833333333333,2005-04-28,52.3,51.4,51.93333333333334,2005-04-27,2.6,0.0,0.7333333333333334,2005-04-25,13.379,4.149,10.174999999999999,2005-04-27
12,4,4,2005-05-04,17400,51.964,6.3515504,4.51556824,603.0064,14.71888,76.7980836,13.82484,20.5964,2.628,124,2005-05-04 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,33.3,1.4963738,1.2220000085,0.1901013445869961,6.3803464176,0.1219129590522856,4.51556824,-1.8647781776,18.91891891891892,3.0999999999999996,4,0,2005-04-30,2005-05-03,,63.72727272727273,37.09090909090909,98.54014598540147,47.17153284671533,82.26277372262774,2005-05-02,99.81751824817518,97.12591240875912,98.01094890510949,2005-05-01,86.63321167883211,31.797445255474454,69.80839416058394,2005-05-02,92.7007299270073,52.28102189781022,64.65328467153284,2005-04-30,5.103,2.361,3.8598,2005-05-02,55.6,51.9,52.959999999999994,2005-05-01,1.7,0.0,0.6199999999999999,2005-05-02,19.821,7.507,11.991800000000001,2005-04-30
17,5,5,2005-05-05,17425,51.928,6.6672864,3.0321088000000005,492.5636,15.4224,76.910988,12.44108,31.507600000000004,2.8985199999999995,125,2005-05-05 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,33.3,1.5883753333333333,1.30800001,0.1933523866861451,6.469254115199997,0.0676680598814826,3.0321088000000005,-3.437145315199997,4.054054054054054,3.0999999999999996,4,1,2005-04-30,2005-05-03,,63.72727272727273,37.09090909090909,98.54014598540147,47.17153284671533,77.60796836982969,2005-05-02,99.81751824817518,97.12591240875912,97.86344282238444,2005-05-01,86.63321167883211,31.797445255474454,63.473236009732354,2005-05-02,92.7007299270073,52.28102189781022,64.41605839416059,2005-04-30,5.103,2.361,3.6483333333333334,2005-05-02,55.6,51.9,52.783333333333324,2005-05-01,1.7,0.0,0.5166666666666666,2005-05-02,19.821,7.507,12.054499999999999,2005-04-30
22,6,6,2005-05-11,17450,52.5,4.57017776,4.90663744,227.15308,8.0458,51.0538728,3.5762799999999997,68.0436,1.52524,131,2005-05-11 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,19.9,2.031833766666667,2.037500026,0.2456718668183628,7.900058262399996,0.136212985565182,4.90663744,-2.9934208223999965,6.756756756756756,5.3,21,0,2005-05-06,2005-05-26,,91.54545454545455,44.09090909090909,58.57664233576642,9.717153284671532,39.94069343065694,2005-05-10,98.9963503649635,97.9014598540146,98.29683698296837,2005-05-08,83.12043795620438,75.36496350364963,78.39872262773723,2005-05-07,50.72992700729927,41.42335766423358,45.590024330900235,2005-05-11,2.73,1.411,2.2113333333333336,2005-05-10,54.3,52.7,53.199999999999996,2005-05-08,0.9,0.3,0.49999999999999994,2005-05-07,6.619,2.308,4.347833333333333,2005-05-11
44,7,7,2005-05-12,17475,54.248000000000005,5.638759199999999,4.3159,229.9588,7.452960000000001,66.4683128,2.07884,82.14959999999999,1.74916,132,2005-05-12 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,20.1,2.1184284333333334,2.2302500309999997,0.2484422748881845,7.975821846933329,0.1146117931057386,4.3159,-3.659921846933329,4.054054054054054,5.3,21,0,2005-05-06,2005-05-26,,91.54545454545455,44.09090909090909,58.57664233576642,9.717153284671532,37.447862356621485,2005-05-10,98.9963503649635,97.9014598540146,98.37721584984358,2005-05-08,83.12043795620438,72.12591240875912,77.50260688216892,2005-05-07,50.72992700729927,41.42335766423358,46.11574556830031,2005-05-11,2.73,1.411,2.1435714285714287,2005-05-10,54.3,52.7,53.32857142857143,2005-05-08,0.9,0.2,0.45714285714285713,2005-05-07,6.619,2.308,4.626142857142858,2005-05-11
66,8,8,2005-05-15,17500,53.86,5.9563052,5.22983476,643.3848,13.57612,96.73336,11.90348,26.5748,1.73072,135,2005-05-15 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,19.8,2.3544121,2.808500046,0.3026624782730773,9.45860592026666,0.1480311759133278,5.22983476,-4.228771160266661,4.054054054054054,5.3,21,0,2005-05-06,2005-05-26,,91.54545454545455,44.09090909090909,69.61678832116789,9.717153284671532,41.25456204379562,2005-05-14,99.49817518248175,97.9014598540146,98.53558394160584,2005-05-14,83.12043795620438,66.92518248175182,75.36952554744525,2005-05-07,59.762773722627735,41.42335766423358,49.56204379562043,2005-05-13,3.081,1.411,2.2442,2005-05-14,55.0,52.7,53.55,2005-05-14,0.9,0.1,0.37000000000000005,2005-05-07,11.319,2.308,6.3545,2005-05-13
88,9,9,2005-05-16,17525,53.392,3.9913656,4.29270032,258.02027999999996,16.256800000000002,39.951096,8.695,53.9528,4.82204,136,2005-05-16 06:00:00,2005-04-18 07:30:00,2005-05-31 22:30:00,CN-Cha,19.9,2.3890371000000004,3.001250051,0.3305162335270085,10.220334982400008,0.1137634623267083,4.29270032,-5.927634662400008,1.3513513513513513,5.3,21,0,2005-05-06,2005-05-26,,91.54545454545455,44.09090909090909,91.6970802919708,9.717153284671532,45.84024552090246,2005-05-16,99.49817518248175,97.9014598540146,98.51940942269408,2005-05-14,83.12043795620438,66.92518248175182,74.60185799601858,2005-05-07,73.26642335766424,41.42335766423358,51.71698739216988,2005-05-16,4.128,1.411,2.4154545454545455,2005-05-16,55.0,52.7,53.527272727272724,2005-05-14,0.9,0.1,0.3454545454545455,2005-05-07,15.035,2.308,7.143636363636364,2005-05-16
